TOA5,,CR800,43098,CR800.Std.32.02,CPU:CR800_WR417_COND_1459_5s.CR8,17980,Table1
TIMESTAMP,Time,RECORD,Cond_cor,Ct_raw,Temp_C,,
TS,,RN,mS/cm,mS/cm,Deg C,,
,,,Smp,Smp,Smp,,
15:09:35,1925,20043,0.7039539,0.6032196,20.23,,
15:09:40,1930,20044,0.7518829,0.6456255,20.29,,
15:09:45,1935,20045,0.7525054,0.6456255,20.27,,
15:09:50,1940,20046,0.7528171,0.6456255,20.25,,
15:09:55,1945,20047,0.7543173,0.6458409,20.21,,
15:10:00,1950,20048,0.7540656,0.6456255,20.21,,
15:10:05,1955,20049,0.7536315,0.6460562,20.24,,
15:10:10,1960,20050,0.7528171,0.6456255,20.25,,
15:10:15,1965,20051,0.7528171,0.6456255,20.25,,
15:10:20,1970,20052,0.7533194,0.6460562,20.25,,
15:10:25,1975,20053,0.7536927,0.6458409,20.23,,
15:10:30,1980,20054,0.7530683,0.6458409,20.25,,
15:10:35,1985,20055,0.7533194,0.6460562,20.25,,
15:10:40,1990,20056,0.7533194,0.6460562,20.25,,
15:10:45,1995,20057,0.7542567,0.6460562,20.22,,
15:10:50,2000,20058,0.7542567,0.6460562,20.22,,
15:10:55,2005,20059,0.7542567,0.6460562,20.22,,
15:11:00,2010,20060,0.7533194,0.6460562,20.25,,
15:11:05,2015,20061,0.752978,0.6460515,20.27,,
15:11:10,2020,20062,0.7542262,0.6460515,20.22,,
15:11:15,2025,20063,0.7536012,0.6460515,20.24,,
15:11:20,2030,20064,0.7542262,0.6460515,20.22,,
15:11:25,2035,20065,0.7545383,0.6460515,20.21,,
15:11:30,2040,20066,0.7539127,0.6460515,20.23,,
15:11:35,2045,20067,0.7542262,0.6460515,20.22,,
15:11:40,2050,20068,0.7520423,0.6460515,20.3,,
15:11:45,2055,20069,0.7532882,0.6460515,20.25,,
15:11:50,2060,20070,0.7536012,0.6460515,20.24,,
15:11:55,2065,20071,0.7526656,0.6460515,20.28,,
15:12:00,2070,20072,0.7539127,0.6460515,20.23,,
15:12:05,2075,20073,0.7523534,0.6460515,20.29,,
15:12:10,2080,20074,0.7536012,0.6460515,20.24,,
15:12:15,2085,20075,0.7520423,0.6460515,20.3,,
15:12:20,2090,20076,0.7536012,0.6460515,20.24,,
15:12:25,2095,20077,0.7536012,0.6460515,20.24,,
15:12:30,2100,20078,0.7536012,0.6460515,20.24,,
15:12:35,2105,20079,0.7537315,0.6466981,20.27,,
15:12:40,2110,20080,0.7579739,0.6492854,20.22,,
15:12:45,2115,20081,0.7644281,0.6553565,20.24,,
15:12:50,2120,20082,0.7833369,0.672681,20.29,,
15:12:55,2125,20083,0.7981234,0.6842439,20.24,,
15:13:00,2130,20084,0.8439375,0.7241207,20.27,,
15:13:05,2135,20085,0.871683,0.7485471,20.29,,
15:13:10,2140,20086,0.901057,0.7728107,20.26,,
15:13:15,2145,20087,0.9095833,0.7801234,20.26,,
15:13:20,2150,20088,0.9199839,0.7887169,20.24,,
15:13:25,2155,20089,0.9118665,0.7820817,20.26,,
15:13:30,2160,20090,0.9080561,0.7781685,20.23,,
15:13:35,2165,20091,0.8978561,0.7703842,20.27,,
15:13:40,2170,20092,0.8854861,0.7597705,20.27,,
15:13:45,2175,20093,0.873044,0.7487847,20.26,,
15:13:50,2180,20094,0.8642927,0.740972,20.24,,
15:13:55,2185,20095,0.8527892,0.7311097,20.24,,
15:14:00,2190,20096,0.8412341,0.721801,20.27,,
15:14:05,2195,20097,0.8333125,0.7144122,20.24,,
15:14:10,2200,20098,0.8236911,0.7070708,20.28,,
15:14:15,2205,20099,0.8151582,0.6988765,20.25,,
15:14:20,2210,20100,0.8109797,0.6961591,20.28,,
15:14:25,2215,20101,0.8015318,0.6880488,20.28,,
15:14:30,2220,20102,0.8006277,0.6867032,20.26,,
